,Flight Path ID,Mission ID,Current Speed (meters / s),AGL (meters),Current Roll (degrees),Current Yaw (degrees),GPS Speed (meters / s),Pressure Altitude (meters),Current Pitch (degrees),Airborn,Time (s)
65,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,2.167
66,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,2.2
67,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,2.233
68,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,2.267
69,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,2.3
70,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,2.333
71,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,2.367
72,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,2.4
73,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,2.4330000000000003
74,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,2.467
75,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,2.5
76,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,2.533
77,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,2.5669999999999997
78,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,2.6
79,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,2.633
80,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,2.667
81,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,2.7
82,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,2.733
83,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,2.767
84,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,2.8
85,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,2.833
86,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,2.867
87,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,2.9
