,GPS Position East (degrees),GPS Position North (degrees),GPS Altitude (meters),Mission ID
0,76.16816669,39.46666666,0.61,1
1,76.16816669,39.46666666,0.61,1
2,76.16816669,39.46666666,0.61,1
3,76.16816669,39.46666666,0.61,1
4,76.16816669,39.46666666,0.61,1
5,76.16816669,39.46666666,0.61,1
6,76.16816669,39.46666666,0.61,1
7,76.16816669,39.46666666,0.61,1
8,76.16816669,39.46666666,0.61,1
9,76.16816669,39.46666666,0.0,1
10,76.16816669,39.46666666,0.0,1
11,76.16816669,39.46666666,0.0,1
12,76.16816669,39.46666666,0.0,1
13,76.16816669,39.46666666,0.0,1
14,76.16816669,39.46666666,0.0,1
15,76.16816669,39.46666666,0.0,1
16,76.16816669,39.46666666,0.0,1
17,76.16816669,39.46666666,0.0,1
18,76.16816669,39.46666666,0.0,1
19,76.16816669,39.46666666,0.0,1
20,76.16816669,39.46666666,0.0,1
21,76.16816669,39.46666666,0.0,1
22,76.16816669,39.46666666,0.0,1
23,76.16816669,39.46666666,0.0,1
24,76.16816669,39.46666666,0.0,1
25,76.16816669,39.46666666,0.0,1
26,76.16816669,39.46666666,0.0,1
27,76.16816669,39.46666666,0.0,1
28,76.16816669,39.46666666,0.0,1
29,76.16816669,39.46666666,0.0,1
30,76.16816669,39.46666666,0.0,1
31,76.16816669,39.46666666,0.0,1
32,76.16816669,39.46666666,0.0,1
33,76.16816669,39.46666666,0.0,1
34,76.16816669,39.46666666,0.0,1
35,76.16816669,39.46666666,0.0,1
36,76.16816669,39.46666666,0.0,1
37,76.16816669,39.46666666,0.0,1
38,76.16816669,39.46666666,0.0,1
39,76.16816669,39.46666666,0.0,1
40,76.16816669,39.46666666,0.0,1
41,76.16816669,39.46666666,0.0,1
42,76.16816669,39.46666666,0.0,1
43,76.16816669,39.46666666,0.0,1
44,76.16816669,39.46666666,0.0,1
45,76.16816669,39.46666666,0.0,1
46,76.16816669,39.46666666,0.0,1
47,76.16816669,39.46666666,0.0,1
48,76.16816669,39.46666666,0.0,1
49,76.16816669,39.46666666,0.0,1
50,76.16816669,39.46666666,0.0,1
51,76.16816669,39.46666666,0.0,1
52,76.16816669,39.46666666,0.0,1
53,76.16816669,39.46666666,0.0,1
54,76.16816669,39.46666666,0.0,1
55,76.16816669,39.46666666,0.0,1
56,76.16816669,39.46666666,0.0,1
57,76.16816669,39.46666666,0.0,1
58,76.16816669,39.46666666,0.0,1
59,76.16816669,39.46666666,0.0,1
60,76.16816669,39.46666666,0.0,1
61,76.16816669,39.46666666,0.0,1
62,76.16816669,39.46666666,0.0,1
63,76.16816669,39.46666666,0.0,1
64,76.16816669,39.46666666,0.0,1
65,76.16816669,39.46666666,0.0,1
66,76.16816669,39.46666666,0.0,1
67,76.16816669,39.46666666,0.0,1
68,76.16816669,39.46666666,0.0,1
69,76.16816669,39.46666666,0.0,1
70,76.16816669,39.46666666,0.0,1
71,76.16816669,39.46666666,0.0,1
72,76.16816669,39.46666666,0.0,1
73,76.16816669,39.46666666,0.0,1
74,76.16816669,39.46666666,0.0,1
75,76.16816669,39.46666666,0.0,1
76,76.16816669,39.46666666,0.0,1
77,76.16816669,39.46666666,0.0,1
78,76.16816669,39.46666666,0.0,1
79,76.16816669,39.46666666,0.0,1
80,76.16816669,39.46666666,0.0,1
81,76.16816669,39.46666666,0.0,1
82,76.16816669,39.46666666,0.0,1
83,76.16816669,39.46666666,0.0,1
84,76.16816669,39.46666666,0.0,1
85,76.16816669,39.46666666,0.0,1
86,76.16816669,39.46666666,0.0,1
87,76.16816669,39.46666666,0.0,1
88,76.16816669,39.46666666,0.0,1
89,76.16816669,39.46666666,0.0,1
90,76.16816669,39.46666666,0.0,1
91,76.16816669,39.46666666,0.0,1
92,76.16816669,39.46666666,0.0,1
93,76.16816669,39.46666666,0.0,1
94,76.16816669,39.46666666,0.0,1
95,76.16816669,39.46666666,0.0,1
96,76.16816669,39.46666666,0.0,1
97,76.16816669,39.46666666,0.0,1
98,76.16816669,39.46666666,0.0,1
99,76.16816669,39.46666666,0.0,1
100,76.16816669,39.46666666,0.0,1
101,76.16816669,39.46666666,0.0,1
102,76.16816669,39.46666666,0.0,1
103,76.16816669,39.46666666,0.0,1
104,76.16816669,39.46666666,0.0,1
105,76.16816669,39.46666666,0.0,1
106,76.16816669,39.46666666,0.0,1
107,76.16816669,39.46666666,0.0,1
108,76.16816669,39.46666666,0.0,1
109,76.16816669,39.46666666,0.0,1
110,76.16816669,39.46666666,0.0,1
111,76.16816669,39.46666666,0.0,1
112,76.16816669,39.46666666,0.0,1
113,76.16816669,39.46666666,0.0,1
114,76.16816669,39.46666666,0.0,1
115,76.16816669,39.46666666,0.0,1
116,76.16816669,39.46666666,0.0,1
117,76.16816669,39.46666666,0.0,1
118,76.16816669,39.46666666,0.0,1
119,76.16816669,39.46666666,0.0,1
120,76.16816669,39.46666666,0.0,1
121,76.16816669,39.46666666,0.0,1
122,76.16816669,39.46666666,0.0,1
123,76.16816669,39.46666666,0.0,1
124,76.16816669,39.46666666,0.0,1
125,76.16816669,39.46666666,0.0,1
126,76.16816669,39.46666666,0.0,1
127,76.16816669,39.46666666,0.0,1
128,76.16816669,39.46666666,0.0,1
129,76.16816669,39.46666666,0.0,1
130,76.16816669,39.46666666,0.0,1
131,76.16816669,39.46666666,0.0,1
132,76.16816669,39.46666666,0.0,1
133,76.16816669,39.46666666,0.0,1
134,76.16816669,39.46666666,0.0,1
135,76.16816669,39.46666666,0.0,1
136,76.16816669,39.46666666,0.0,1
137,76.16816669,39.46666666,0.0,1
138,76.16816669,39.46666666,0.0,1
139,76.16816669,39.46666666,0.0,1
140,76.16816669,39.46666666,0.0,1
141,76.16816669,39.46666666,0.0,1
142,76.16816669,39.46666666,0.0,1
143,76.16816669,39.46666666,0.0,1
144,76.16816669,39.46666666,0.0,1
145,76.16816669,39.46666666,0.0,1
146,76.16816669,39.46666666,0.0,1
147,76.16816669,39.46666666,0.0,1
148,76.16816669,39.46666666,0.0,1
149,76.16816669,39.46666666,0.0,1
150,76.16816669,39.46666666,0.0,1
151,76.16816669,39.46666666,0.0,1
152,76.16816669,39.46666666,0.0,1
153,76.16816669,39.46666666,0.0,1
154,76.16816669,39.46666666,0.0,1
155,76.16816669,39.46666666,0.0,1
156,76.16816669,39.46666666,0.0,1
157,76.16816669,39.46666666,0.0,1
158,76.16816669,39.46666666,0.0,1
159,76.16816669,39.46666666,0.0,1
160,76.16816669,39.46666666,0.0,1
161,76.16816669,39.46666666,0.0,1
162,76.16816669,39.46666666,0.0,1
163,76.16816669,39.46666666,0.0,1
164,76.16816669,39.46666666,0.0,1
165,76.16816669,39.46666666,0.0,1
166,76.16816669,39.46666666,0.0,1
167,76.16816669,39.46666666,0.0,1
168,76.16816669,39.46666666,0.0,1
169,76.16816669,39.46666666,0.0,1
170,76.16816669,39.46666666,0.0,1
171,76.16816669,39.46666666,0.0,1
172,76.16816669,39.46666666,0.0,1
173,76.16816669,39.46666666,0.0,1
174,76.16816669,39.46666666,0.0,1
175,76.16816669,39.46666666,0.0,1
176,76.16816669,39.46666666,0.0,1
177,76.16816669,39.46666666,0.0,1
178,76.16816669,39.46666666,0.0,1
179,76.16816669,39.46666666,0.0,1
180,76.16816669,39.46666666,0.0,1
181,76.16816669,39.46666666,0.0,1
182,76.16816669,39.46666666,0.0,1
183,76.16816669,39.46666666,0.0,1
184,76.16816669,39.46666666,0.0,1
185,76.16816669,39.46666666,0.0,1
186,76.16816669,39.46666666,0.0,1
187,76.16816669,39.46666666,0.0,1
188,76.16816669,39.46666666,0.0,1
189,76.16816669,39.46666666,0.0,1
190,76.16816669,39.46666666,0.0,1
191,76.16816669,39.46666666,0.0,1
192,76.16816669,39.46666666,0.0,1
193,76.16816669,39.46666666,0.0,1
194,76.16816669,39.46666666,0.0,1
195,76.16816669,39.46666666,0.0,1
196,76.16816669,39.46666666,0.0,1
197,76.16816669,39.46666666,0.0,1
198,76.16816669,39.46666666,0.0,1
199,76.16816669,39.46666666,0.0,1
200,76.16816669,39.46666666,0.0,1
201,76.16816669,39.46666666,0.0,1
202,76.16816669,39.46666666,0.0,1
203,76.16816669,39.46666666,0.0,1
204,76.16816669,39.46666666,0.0,1
205,76.16816669,39.46666666,0.0,1
206,76.16816669,39.46666666,0.0,1
207,76.16816669,39.46666666,0.0,1
208,76.16816669,39.46666666,0.0,1
209,76.16816669,39.46666666,0.0,1
210,76.16816669,39.46666666,0.0,1
211,76.16816669,39.46666666,0.0,1
212,76.16816669,39.46666666,0.0,1
213,76.16816669,39.46666666,0.0,1
214,76.16816669,39.46666666,0.0,1
215,76.16816669,39.46666666,0.0,1
216,76.16816669,39.46666666,0.0,1
217,76.16816669,39.46666666,0.0,1
218,76.16816669,39.46666666,0.0,1
219,76.16816669,39.46666666,0.0,1
220,76.16816669,39.46666666,0.0,1
221,76.16816669,39.46666666,0.0,1
222,76.16816669,39.46666666,0.0,1
223,76.16816669,39.46666666,0.0,1
